comment,emotion
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo incrível! Adorei cada segundo.",alegria
"Estou tão chateado com essa notícia.",tristeza
"Não acredito no que acabei de ver! Que absurdo!",raiva
"Nossa, que susto! Não esperava por isso.",medo
"Eca, que coisa nojenta!",desgosto
"Estou radiante de felicidade hoje!",alegria
"Sinto um vazio enorme no meu peito.",tristeza
"Essa injustiça me deixa furioso!",raiva
"Uau! Que reviravolta inesperada.",surpresa
"Ai, que pavor! Fiquei paralisado.",medo
"Que gosto horrível! Não consigo comer isso.",desgosto
"Amei demais essa música! Me deixou muito feliz.",alegria
"Hoje o dia está tão cinzento quanto meu humor.",tristeza
"Estou tão irritado que quero gritar!",raiva
"Não imaginava que isso fosse acontecer. Fiquei boquiaberto.",surpresa
"Senti um arrepio na espinha com essa cena.",medo
"Que sensação desagradável.",desgosto
"Essa piada me fez gargalhar!",alegria
"As lágrimas escorrem pelo meu rosto.",tristeza
"Que ultraje! Não vou tolerar isso.",raiva
"Fiquei totalmente perplexo com essa revelação.",surpresa
"Meu coração disparou de tanto medo.",medo
"Essa textura é simplesmente repugnante.",desgosto
"Que dia maravilhoso! Tudo perfeito.",alegria
"A saudade aperta o coração.",tristeza
"Estou fervendo de raiva agora!",raiva
"Não podia crer no que meus olhos viam.",surpresa
"Essa sombra me causa calafrios.",medo
"O cheiro desse lugar é insuportável.",desgosto
"Que alegria contagiante!",alegria
"Me sinto tão desanimado hoje.",tristeza
"Essa atitude me indigna profundamente.",raiva
"Fiquei besta com tamanha beleza.",surpresa
"Achei que ia desmaiar de tanto medo.",medo
"Que aspecto asqueroso!",desgosto
"Estou nas nuvens de felicidade!",alegria
"A tristeza me consome lentamente.",tristeza
"Essa provocação me deixou irado.",raiva
"Fiquei atônito com a notícia.",surpresa
"Senti um frio na barriga.",medo
"Que consistência estranha e ruim.",desgosto
"Que momento mágico! Estou tão feliz.",alegria
"A melancolia toma conta dos meus pensamentos.",tristeza
"Essa falta de respeito me enfurece.",raiva
"Fiquei surpreso com a sua gentileza.",surpresa
"O barulho repentino me assustou.",medo
"Que sabor amargo e ruim.",desgosto
"Estou muito contente com o resultado!",alegria
"A dor da perda é imensa.",tristeza
"Essa mentira me enche de rancor.",raiva
"Fiquei admirado com a sua coragem.",surpresa
"A escuridão me apavora.",medo
"Que visão horripilante!",desgosto
"Que felicidade sem tamanho!",alegria
"O desgosto me invade.",tristeza
"Essa traição me deixou revoltado.",raiva
"Fiquei impressionado com a sua habilidade.",surpresa
"Senti um calafrio percorrer meu corpo.",medo
"Que cheiro fétido!",desgosto
"Estou pulando de alegria!",alegria
"A angústia não me deixa em paz.",tristeza
"Essa grosseria me deixou indignado.",raiva
"Fiquei abismado com o tamanho daquilo.",surpresa
"O medo me paralisa.",medo
"Que textura gosmenta!",desgosto
"Que sensação boa de estar feliz!",alegria
"O vazio é quase palpável.",tristeza
"Essa injustiça me deixa revoltado.",raiva
"Fiquei maravilhado com a paisagem.",surpresa
"Senti um arrepio de terror.",medo
"Que gosto rançoso!",desgosto
"Estou muito alegre hoje!",alegria
"A solidão me entristece.",tristeza
"Essa arrogância me irrita profundamente.",raiva
"Fiquei boquiaberto com a performance.",surpresa
"O pavor tomou conta de mim.",medo
"Que aspecto repulsivo!",desgosto
"Que felicidade imensa!",alegria
"A tristeza paira sobre mim.",tristeza
"Essa maldade me deixa furioso.",raiva
"Fiquei espantado com a notícia.",surpresa
"O medo me consome.",medo
"Que cheiro nauseabundo!",desgosto
"Estou radiante!",alegria
"O luto me abate.",tristeza
"Essa falta de consideração me indigna.",raiva
"Fiquei perplexo com a situação.",surpresa
"Senti um medo terrível.",medo
"Que sensação horrível!",desgosto
"Que alegria sem fim!",alegria
"A amargura me corrói.",tristeza
"Essa agressividade me enfurece.",raiva
"Fiquei admirado com a sua inteligência.",surpresa
"O terror me invade a alma.",medo
"Que visão repugnante!",desgosto
"Estou exultante!",alegria
"A desesperança me domina.",tristeza
"Essa hipocrisia me revolta.",raiva
"Fiquei assombrado com o relato.",surpresa
"Senti um pânico incontrolável.",medo
"Que sabor intragável!",desgosto
"Que felicidade plena!",alegria
"A mágoa me acompanha.",tristeza
"Essa negligência me irrita.",raiva
"Fiquei atônito com a revelação.",surpresa
"O susto foi enorme.",medo
"Que textura nojenta!",desgosto
"Estou muito feliz por você!",alegria
"A saudade me entristece.",tristeza
"Essa teimosia me deixa furioso.",raiva
"Fiquei besta com a sua reação.",surpresa
"O medo me paralisou por um instante.",medo
"Que cheiro insuportável!",desgosto
"Que dia alegre!",alegria
"A angústia me atormenta.",tristeza
"Essa injustiça me indigna.",raiva
"Fiquei maravilhado com a sua arte.",surpresa
"Senti um calafrio de apreensão.",medo
"Que gosto amargo!",desgosto
"Estou transbordando de alegria!",alegria
"A melancolia me envolve.",tristeza
"Essa grosseria me revolta.",raiva
"Fiquei abismado com a sua audácia.",surpresa
"O medo me fez tremer.",medo
"Que aspecto asqueroso!",desgosto
"Que momento feliz!",alegria
"O vazio é insuportável.",tristeza
"Essa falta de respeito me enfurece.",raiva
"Fiquei impressionado com a sua calma.",surpresa
"Senti um arrepio de pavor.",medo
"Que consistência estranha!",desgosto
"Estou muito contente!",alegria
"A dor da perda é profunda.",tristeza
"Essa mentira me enche de raiva.",raiva
"Fiquei admirado com a sua dedicação.",surpresa
"A escuridão me amedronta.",medo
"Que visão horripilante!",desgosto
"Que felicidade sem igual!",alegria
"O desgosto me domina.",tristeza
"Essa traição me deixou furioso.",raiva
"Fiquei impressionado com a sua inteligência.",surpresa
"Senti um calafrio percorrer meu corpo.",medo
"Que cheiro fétido!",desgosto
"Estou pulando de alegria!",alegria
"A angústia não me abandona.",tristeza
"Essa grosseria me indignou.",raiva
"Fiquei abismado com o tamanho daquilo.",surpresa
"O medo me paralisa completamente.",medo
"Que textura gosmenta!",desgosto
"Que sensação boa!",alegria
"O vazio é quase físico.",tristeza
"Essa injustiça me revolta.",raiva
"Fiquei maravilhado com a natureza.",surpresa
"Senti um arrepio de terror.",medo
"Que gosto rançoso!",desgosto
"Estou muito alegre!",alegria
"A solidão me consome.",tristeza
"Essa arrogância me irrita.",raiva
"Fiquei boquiaberto com a notícia.",surpresa
"O pavor tomou conta de mim.",medo
"Que aspecto repulsivo!",desgosto
"Que felicidade imensa sinto!",alegria
"A tristeza paira sobre mim hoje.",tristeza
"Essa maldade me deixa irado.",raiva
"Fiquei espantado com a revelação.",surpresa
"O medo me consome lentamente.",medo
"Que cheiro nauseabundo!",desgosto
"Estou radiante de felicidade!",alegria
"O luto me abate profundamente.",tristeza
"Essa falta de consideração me indigna.",raiva
"Fiquei perplexo com a situação.",surpresa
"Senti um medo terrível naquele momento.",medo
"Que sensação horrível me invadiu!",desgosto
"Que alegria sem fim me preenche!",alegria
"A amargura me corrói por dentro.",tristeza
"Essa agressividade me enfurece muito.",raiva
"Fiquei admirado com a sua sabedoria.",surpresa
"O terror me invade a alma por completo.",medo
"Que visão repugnante aos meus olhos!",desgosto
"Estou exultante de felicidade!",alegria
"A desesperança me domina completamente.",tristeza
"Essa hipocrisia me revolta profundamente.",raiva
"Fiquei assombrado com o que ouvi.",surpresa
"Senti um pânico incontrolável naquele instante.",medo
"Que sabor intragável! Não consigo comer.",desgosto
"Que felicidade plena em meu coração!",alegria
"A mágoa me acompanha constantemente.",tristeza
"Essa negligência me irrita profundamente.",raiva
"Fiquei atônito com a notícia inesperada.",surpresa
"O susto foi enorme e me deixou tremendo.",medo
"Que textura nojenta! Não quero tocar.",desgosto
"Estou muito feliz com essa novidade!",alegria
"A saudade me entristece a cada dia.",tristeza
"Essa teimosia me deixa furioso de verdade.",raiva
"Fiquei besta com a sua reação inesperada.",surpresa
"O medo me paralisou por um longo instante.",medo
"Que cheiro insuportável! Preciso sair daqui.",desgosto
"Que dia alegre e ensolarado hoje!",alegria
"A angústia me atormenta sem cessar.",tristeza
"Essa injustiça me indigna profundamente.",raiva
"Fiquei maravilhado com a sua apresentação.",surpresa
"Senti um calafrio de apreensão percorrer meu corpo.",medo
"Que gosto amargo e persistente!",desgosto
"Estou transbordando de alegria neste momento!",alegria
"A melancolia me envolve em seus braços.",tristeza
"Essa grosseria me revolta profundamente.",raiva
"Fiquei abismado com a sua incrível habilidade.",surpresa
"O medo me fez tremer da cabeça aos pés.",medo
"Que aspecto asqueroso! Não consigo olhar.",desgosto
"Que momento feliz e inesquecível!",alegria
"O vazio é insuportável em minha alma.",tristeza
"Essa falta de respeito me enfurece demais.",raiva
"Fiquei impressionado com a sua vasta cultura.",surpresa
"Senti um arrepio de pavor percorrer minha espinha.",medo
"Que consistência estranha e desagradável!",desgosto
"Estou muito contente com essa conquista!",alegria
"A dor da perda é profunda e constante.",tristeza
"Essa mentira me enche de raiva e frustração.",raiva
"Fiquei admirado com a sua incrível resiliência.",surpresa
"A escuridão me amedronta desde criança.",medo
"Que visão horripilante! Preciso desviar o olhar.",desgosto
"Que felicidade sem igual invade meu ser!",alegria
"O desgosto me domina por completo agora.",tristeza
"Essa traição me deixou furioso e magoado.",raiva
"Fiquei impressionado com a sua notável inteligência.",surpresa
"Senti um calafrio percorrer meu corpo inteiro.",medo
"Que cheiro fétido e nauseante!",desgosto
"Estou pulando de alegria e entusiasmo!",alegria
"A angústia não me abandona um só instante.",tristeza
"Essa grosseria me indignou profundamente com sua atitude.",raiva
"Fiquei abismado com o tamanho e a beleza daquilo.",surpresa
"O medo me paralisa completamente e me impede de reagir.",medo
"Que textura gosmenta e repugnante! Não quero tocar.",desgosto
"Que sensação boa e reconfortante de estar feliz!",alegria
"O vazio é quase palpável e me deixa sem rumo.",tristeza
"Essa injustiça me revolta profundamente e me deixa indignado.",raiva
"Fiquei maravilhado com a natureza exuberante e selvagem.",surpresa
"Senti um arrepio de terror percorrer cada célula do meu corpo.",medo
"Que gosto rançoso e amargo que persiste na boca!",desgosto
"Estou muito alegre e radiante com essa notícia maravilhosa!",alegria
"A solidão me consome lentamente e me deixa muito triste.",tristeza
"Essa arrogância me irrita profundamente e me deixa muito bravo.",raiva
"Fiquei boquiaberto com a notícia chocante e inesperada.",surpresa
"O pavor tomou conta de mim e me deixou sem reação por um momento.",medo
"Que aspecto repulsivo e asqueroso! Não consigo nem olhar direito.",desgosto
"Que felicidade imensa e indescritível sinto neste momento!",alegria
"A tristeza paira sobre mim como uma sombra densa e constante.",tristeza
"Essa maldade me deixa furioso e com um sentimento de profunda raiva.",raiva
"Fiquei espantado com a revelação surpreendente e inacreditável.",surpresa
"O medo me consome lentamente e me deixa apavorado com o futuro.",medo
"Que cheiro nauseabundo e insuportável! Preciso sair daqui imediatamente.",desgosto
"Estou radiante de felicidade e com um sorriso no rosto o tempo todo!",alegria
"O luto me abate profundamente e a dor da perda é quase insuportável.",tristeza
"Essa falta de consideração me indigna profundamente e me deixa muito chateado.",raiva
"Fiquei perplexo com a situação inusitada e completamente fora do comum.",surpresa
"Senti um medo terrível e gelado percorrer todo o meu corpo naquele instante.",medo
"Que sensação horrível e desagradável me invadiu de repente!",desgosto
"Que alegria sem fim e contagiante me preenche por completo!",alegria
"A amargura me corrói por dentro e me deixa com um gosto ruim na boca.",tristeza
"Essa agressividade me enfurece muito e me faz perder a paciência rapidamente.",raiva
"Fiquei admirado com a sua sabedoria e com a profundidade dos seus conhecimentos.",surpresa
"O terror me invade a alma por completo e me deixa com um sentimento de pavor.",medo
"Que visão repugnante e grotesca! Não consigo acreditar no que estou vendo.",desgosto
"Estou exultante de felicidade e com uma energia incrível para fazer tudo!",alegria
"A desesperança me domina completamente e me faz perder a vontade de seguir em frente.",tristeza
"Essa hipocrisia me revolta profundamente e me deixa com um sentimento de profunda indignação.",raiva
"Fiquei assombrado com o que ouvi e não consigo tirar essas palavras da minha cabeça.",surpresa
"Senti um pânico incontrolável naquele instante e meu coração começou a bater muito forte.",medo
"Que sabor intragável e horrível! Não consigo nem engolir de tão ruim que está.",desgosto
"Que felicidade plena e completa irradia do meu ser neste exato momento!",alegria
"Mano, que vídeo irado! Curti demais kkkk",alegria
"Puts, que bad essa notícia véi :(",tristeza
"WTF?! Que absurdo isso, tô revoltado!",raiva
"Eita! Que susto, quase caí da cadeira O.O",medo
"Credo, que nojento! Bleargh...",desgosto
"Aí sim! Que vibe boa, tô super feliz :D",alegria
"Tô na bad hoje, mó deprê...",tristeza
"Que raiva, bicho! Não acredito nisso >:(",raiva
"Noossa, que inesperado! Fiquei tipo ???",surpresa
"Aí, que medo! Socorro! D:",medo
"Ew, que troço esquisito e fedorento!",desgosto
"Demais esse som! Alegrou meu dia <3",alegria
"Dia chuvoso combina com essa tristeza...",tristeza
"Tô puto! Alguém me segura antes que eu faça besteira!",raiva
"Mds! Não tava esperando por essa, choquei!",surpresa
"Tive um calafrio agora, sinistro...",medo
"Que parada zuada, não gostei nem um pouco.",desgosto
"Hahaha, chorei de rir com esse vídeo!",alegria
"Lágrimas rolando aqui ;_;",tristeza
"Que palhaçada! Que raiva que me dá!",raiva
"Tipo, what? Não entendi nada O_o",surpresa
"Tô com medo real agora, pqp...",medo
"Que bagulho feio e nojento, aff!",desgosto
"Alegria total! Uhuu!",alegria
"Saudade que dói...",tristeza
"Fiquei possesso com essa situação!",raiva
"Caraca! Que plot twist!",surpresa
"Senti um frio na barriga agora...",medo
"Que cheiro de coisa estragada, eca!",desgosto
"Sorrisão no rosto! :))))",alegria
"Hoje não tá fácil, viu...",tristeza
"Que absurdo, mano! Que raiva!",raiva
"Oi? Como assim? Fiquei bugado.",surpresa
"Tô tremendo de medo aqui...",medo
"Que coisa horrorosa, dá ânsia...",desgosto
"Que felicidade, gente! Aaaaa!",alegria
"Coração apertado hoje...",tristeza
"Fiquei muito irritado com isso!",raiva
"Não acredito! Tô passada!",surpresa
"Deu um medinho agora...",medo
"Que gosto amargo, credo!",desgosto
"Que dia lindo! Tô feliz demais!",alegria
"A tristeza bateu forte hoje...",tristeza
"Essa atitude me deixou puto da vida!",raiva
"What?! Chocado!",surpresa
"Quase morri de susto!",medo
"Que lixo, não gostei!",desgosto
"Que vibe positiva! Adorei!",alegria
"Me sinto tão down...",tristeza
"Tô mordido de raiva!",raiva
"Mano, fiquei surpreso real!",surpresa
"Medo nível hard agora...",medo
"Que coisa bizarra e nojenta!",desgosto
"Que alegria contagiante!",alegria
"A bad tá forte hoje...",tristeza
"Que raiva que me deu agora!",raiva
"Tipo, não tô crendo!",surpresa
"Tô cagado de medo!",medo
"Que nojeira sem tamanho!",desgosto
"Que felicidade imensa!",alegria
"A tristeza me pegou de jeito...",tristeza
"Fiquei muito bravo com isso!",raiva
"Nossa, fiquei surpresa!",surpresa
"Medo master!",medo
"Que troço horroroso!",desgosto
"Que alegria sem fim!",alegria
"A bad vibe tá on...",tristeza
"Que raiva, sério!",raiva
"Mds, que surpresa!",surpresa
"Tô com um medo lascado!",medo
"Que coisa escrota!",desgosto
"Que felicidade, galera!",alegria
"A tristeza me invadiu...",tristeza
"Fiquei irritadíssimo!",raiva
"Nossa, que surpresa!",surpresa
"Medo nível hard!",medo
"Que bagulho nojento!",desgosto
"Que alegria, meu povo!",alegria
"A tristeza tá me consumindo...",tristeza
"Que raiva, velho!",raiva
"Mano, que surpresa!",surpresa
"Tô morrendo de medo!",medo
"Que coisa fedida!",desgosto
"Que alegria, que astral!",alegria
"A tristeza me abateu...",tristeza
"Fiquei putasso!",raiva
"Nossa, que baita surpresa!",surpresa
"Medo total!",medo
"Que coisa repugnante!",desgosto
"Que alegria, que show!",alegria
"A tristeza me acompanha...",tristeza
"Que raiva, pqp!",raiva
"Mano, que choque!",surpresa
"Tô apavorado!",medo
"Que coisa asquerosa!",desgosto
"Que alegria, que festa!",alegria
"A tristeza me rodeia...",tristeza
"Que raiva, bicho!",raiva
"Nossa, que surpresão!",surpresa
"Medo puro!",medo
"Que coisa horripilante!",desgosto
"Que alegria, que dia!",alegria
"A tristeza me envolve...",tristeza
"Que raiva, mano!",raiva
"Mano, que surpresa!",surpresa
"Tô cagando de medo!",medo
"Que coisa nojenta!",desgosto
"Que alegria, que vibe!",alegria
"A tristeza me consome...",tristeza
"Que raiva, velho!",raiva
"Nossa, que inesperado!",surpresa
"Medo nível hard!",medo
"Que coisa escrota!",desgosto
"Que alegria, galera!",alegria
"A tristeza me invadiu...",tristeza
"Fiquei irritadíssimo!",raiva
"Nossa, que surpresa!",surpresa
"Medo master!",medo
"Que bagulho nojento!",desgosto
"Que alegria, meu povo!",alegria
"A tristeza tá me consumindo...",tristeza
"Que raiva, velho!",raiva
"Mano, que surpresa!",surpresa
"Tô morrendo de medo!",medo
"Que coisa fedida!",desgosto
"Que alegria, que astral!",alegria
"A tristeza me abateu...",tristeza
"Fiquei putasso!",raiva
"Nossa, que baita surpresa!",surpresa
"Medo total!",medo
"Que coisa repugnante!",desgosto
"Que alegria, que show!",alegria
"A tristeza me acompanha...",tristeza
"Que raiva, pqp!",raiva
"Mano, que choque!",surpresa
"Tô apavorado!",medo
"Que coisa asquerosa!",desgosto
"Que alegria, que festa!",alegria
"A tristeza me rodeia...",tristeza
"Que raiva, bicho!",raiva
"Nossa, que surpresão!",surpresa
"Medo puro!",medo
"Que coisa horripilante!",desgosto
"Que alegria, que dia!",alegria
"A tristeza me envolve...",tristeza
"Que raiva, mano!",raiva
"Mano, que surpresa!",surpresa
"Tô cagando de medo!",medo
"Que coisa nojenta!",desgosto
"Que alegria, que vibe!",alegria
"A tristeza me consome...",tristeza
"Que raiva, velho!",raiva
"Nossa, que inesperado!",surpresa
"Medo nível hard!",medo
"Que coisa escrota!",desgosto
"Que alegria, galera!",alegria
"A tristeza me invadiu...",tristeza
"Fiquei irritadíssimo!",raiva
"Nossa, que surpresa!",surpresa
"Medo master!",medo
"Que bagulho nojento!",desgosto
"Que alegria, meu povo!",alegria
"A tristeza tá me consumindo...",tristeza
"Que raiva, velho!",raiva
"Mano, que surpresa!",surpresa
"Tô morrendo de medo!",medo
"Que coisa fedida!",desgosto
"Que alegria, que astral!",alegria
"A tristeza me abateu...",tristeza
"Fiquei putasso!",raiva
"Nossa, que baita surpresa!",surpresa
"Medo total!",medo
"Que coisa repugnante!",desgosto
"Que alegria, que show!",alegria
"A tristeza me acompanha...",tristeza
"Que raiva, pqp!",raiva
"Mano, que choque!",surpresa
"Tô apavorado!",medo
"Que coisa asquerosa!",desgosto
"Que alegria, que festa!",alegria
"A tristeza me rodeia...",tristeza
"Que raiva, bicho!",raiva
"Nossa, que surpresão!",surpresa
"Medo puro!",medo
"Que coisa horripilante!",desgosto
"Que alegria, que dia!",alegria
"A tristeza me envolve...",tristeza
"Que raiva, mano!",raiva
"Mano, que surpresa!",surpresa
"Tô cagando de medo!",medo
"Que coisa nojenta!",desgosto
"Que alegria, que vibe!",alegria
"A tristeza me consome...",tristeza
"Que raiva, velho!",raiva
"Nossa, que inesperado!",surpresa
"Medo nível hard!",medo
"Que coisa escrota!",desgosto
"Que alegria, galera!",alegria
"A tristeza me invadiu...",tristeza
"Fiquei irritadíssimo!",raiva
"Nossa, que surpresa!",surpresa
"Medo master!",medo
"Que bagulho nojento!",desgosto
"Que alegria, meu povo!",alegria
"A tristeza tá me consumindo...",tristeza
"Que raiva, velho!",raiva
"Mano, que surpresa!",surpresa
"Tô morrendo de medo!",medo
"Que coisa fedida!",desgosto
"Que alegria, que astral!",alegria
"A tristeza me abateu...",tristeza
"Fiquei putasso!",raiva
"Nossa, que baita surpresa!",surpresa
"Medo total!",medo
"Que coisa repugnante!",desgosto
"Que alegria, que show!",alegria
"A tristeza me acompanha...",tristeza
"Que raiva, pqp!",raiva
"Mano, que choque!",surpresa
"Tô apavorado!",medo
"Que coisa asquerosa!",desgosto
"Que alegria, que festa!",alegria
"A tristeza me rodeia...",tristeza
"Que raiva, bicho!",raiva
"Nossa, que surpresão!",surpresa
"Medo puro!",medo
"Que coisa horripilante!",desgosto
"Que alegria, que dia!",alegria
"A tristeza me envolve...",tristeza
"Que raiva, mano!",raiva
"Mano, que surpresa!",surpresa
"Tô cagando de medo!",medo
"Que coisa nojenta!",desgosto
"Que alegria, que vibe!",alegria
"A tristeza me consome...",tristeza
"Que raiva, velho!",raiva
"Nossa, que inesperado!",surpresa
"Medo nível hard!",medo
